id,date,session_id,category,subcategory,description,root_cause,repeat_count,related_ids,resolved,fix_commit
1,2025-01-26,,UI/UX,패딩,"주간/월간 캘린더 좌우 패딩 불일치","디자인 가이드 부재 상태에서 임의 수치 적용",3,"3,10",TRUE,
2,2025-02-07,,UI/UX,패딩,"홈 화면 위아래 패딩 부족, 네비게이션 크기 작음","기본 Material 값 사용, 디자인 가이드 미참조",1,,TRUE,
3,2025-02-08,,UI/UX,캘린더,"캘린더 패딩/월 정렬/n월 n주차 표시/chevron 위치/월간 확장 시 상단 고정돼 스크롤 안됨","캘린더 UI 복합 이슈 — 초기 설계 시 월간 뷰 스크롤 미고려",3,"1,10,27",TRUE,
4,2025-02-08,,UI/UX,디자인 불일치,"디자인 가이드 없이 Material Design으로 구현. 드래그 핸들 너무 진함. placeholder/cursor 높이 불일치. 노트 상세 dropdown 스타일 불일치","디자인 가이드 미수립 상태에서 Material 기본값 그대로 사용",2,"10,49",TRUE,
5,2025-02-08,,UI/UX,할일 카드,"할일 카드 패딩 불일치. 체크박스 미선택 상태에서도 카드 사라짐","체크 상태 변경 시 필터링 로직이 즉시 제거하는 버그",3,"23,25",TRUE,
6,2025-02-10,,UI/UX,타이포그래피,"타이포그래피 수정 필요. 전체적으로 부드러운 애니메이션 부족","기본 폰트/애니메이션 설정, 디자인 가이드 반영 전",1,,TRUE,
7,2025-02-11,,UI/UX,네비게이션 바,"네비게이션 바 아이콘 크기 제각각. 아이콘 선택 시 아이콘만이 아니라 영역으로 선택됨","아이콘별 개별 크기 지정, 터치 영역 미정규화",2,"14,40",TRUE,
8,2025-02-11,,UI/UX,구현 방식,"mockup 수정이 아니라 실제 코드를 수정해야 함. 애플 디자인 가이드 참조 필요","요청 의도 오해 — 코드 변경이 아닌 문서/목업만 수정",1,,TRUE,
9,2025-02-11,,UI/UX,애니메이션,"전환 애니메이션 너무 튀어. 좀 더 부드럽게","기본 Compose 전환 효과 사용, 커스텀 easing 미적용",1,,TRUE,
10,2025-02-12,,UI/UX,패딩,"캘린더 top 패딩 줄여야 함. 할일 카드 마감일 없어도 약간 확장됨. 드래그 핸들/placeholder 높이 (재지적)","이전 수정이 불완전 — 조건부 패딩 로직 누락",3,"1,3,4",TRUE,
11,2025-02-12,,UI/UX,설정 화면,"설정창 순서 개판. 덜 중요한 설정은 세부 페이지로 넘겨야 함. 자동추가/제안 모드 on/off 관계인데 각각 존재","설정 항목 IA(Information Architecture) 미설계",1,,TRUE,
12,2025-02-12,,UI/UX,하드코딩,"하드코딩된 색상/수치 확인 필요","Theme 토큰 대신 Color(0xFF...) 직접 사용",1,,TRUE,
13,2025-02-12,,UI/UX,타이틀,"타이틀 안보임","텍스트 색상이 배경과 동일하거나 visibility 누락",1,,TRUE,
14,2025-02-13,,UI/UX,네비게이션 바,"글씨 크기 줄여봐. 네비바 폭 너무 큼","네비바 높이/폰트 크기 과대 설정",2,"7,40",TRUE,
15,2025-02-14,,UI/UX,스플래시,"스플래시 화면에서 점(.)이 위로 가있어","로고 렌더링 시 baseline 정렬 미적용",2,16,TRUE,
